Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
2018,2,6,13,3,2018-06-13,DL,19790,DL,N919AT,1235,10397,1039707,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,13230,1323002,32070,MDT,"Harrisburg, PA",PA,42.0,Pennsylvania,23,951,958.0,7.0,7.0,0.0,0.0,0900-0959,14.0,1012.0,1140.0,10.0,1144,1150.0,6.0,6.0,0.0,0.0,1100-1159,0.0,,0.0,113.0,112.0,88.0,1.0,620.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,2,4,22,4,1993-04-22,WN,19393,WN,,308,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4.0,Arizona,81,16440,1644001,30423,AUS,"Austin, TX",TX,48.0,Texas,74,740,747.0,7.0,7.0,0.0,0.0,0700-0759,,,,,1150,1149.0,-1.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,130.0,122.0,,1.0,868.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2,6,15,5,2007-06-15,MQ,20398,MQ,N806AE,4416,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,12197,1219701,31703,HPN,"White Plains, NY",NY,36.0,New York,22,1835,1937.0,62.0,62.0,1.0,4.0,1800-1859,16.0,1953.0,2242.0,4.0,2145,2246.0,61.0,61.0,1.0,4.0,2100-2159,0.0,,0.0,130.0,129.0,109.0,1.0,738.0,3,54.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,29,7,1998-03-29,US,20355,US,N826US,1840,14122,1412201,30198,PIT,"Pittsburgh, PA",PA,42.0,Pennsylvania,23,10792,1079202,30792,BUF,"Buffalo, NY",NY,36.0,New York,22,1637,1638.0,1.0,1.0,0.0,0.0,1600-1659,12.0,1650.0,1723.0,4.0,1725,1727.0,2.0,2.0,0.0,0.0,1700-1759,0.0,,0.0,48.0,49.0,33.0,1.0,186.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,5,12,1,2014-05-12,DL,19790,DL,N336NB,1274,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27.0,Minnesota,63,10529,1052904,30529,BDL,"Hartford, CT",CT,9.0,Connecticut,11,1925,1924.0,-1.0,0.0,0.0,-1.0,1900-1959,22.0,1946.0,2252.0,4.0,2256,2256.0,0.0,0.0,0.0,0.0,2200-2259,0.0,,0.0,151.0,152.0,126.0,1.0,1050.0,5,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,4,12,13,7,1992-12-13,DL,19790,DL,,803,14193,1419301,33728,PNS,"Pensacola, FL",FL,12.0,Florida,33,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,905,904.0,-1.0,0.0,0.0,-1.0,0900-0959,,,,,1054,1054.0,0.0,0.0,0.0,0.0,1000-1059,0.0,,0.0,109.0,110.0,,1.0,604.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,2,6,6,5,2008-06-06,OO,20304,OO,N752SK,6226,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,10599,1059902,30599,BHM,"Birmingham, AL",AL,1.0,Alabama,51,1545,1724.0,99.0,99.0,1.0,6.0,1500-1559,99.0,1903.0,2037.0,4.0,1735,2041.0,186.0,186.0,1.0,12.0,1700-1759,0.0,,0.0,110.0,197.0,94.0,1.0,584.0,3,0.0,0.0,87.0,0.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,2,1,2019-09-02,B6,20409,B6,N247JB,1482,14524,1452401,34524,RIC,"Richmond, VA",VA,51.0,Virginia,38,10721,1072102,30721,BOS,"Boston, MA",MA,25.0,Massachusetts,13,1258,2105.0,487.0,487.0,1.0,12.0,1200-1259,11.0,2116.0,2246.0,5.0,1430,2251.0,501.0,501.0,1.0,12.0,1400-1459,0.0,,0.0,92.0,106.0,90.0,1.0,474.0,2,420.0,0.0,14.0,0.0,67.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,4,10,15,1,2018-10-15,9E,20363,9E,N902XJ,3409,12478,1247805,31703,JFK,"New York, NY",NY,36.0,New York,22,14576,1457606,34576,ROC,"Rochester, NY",NY,36.0,New York,22,947,946.0,-1.0,0.0,0.0,-1.0,0900-0959,26.0,1012.0,1107.0,6.0,1109,1113.0,4.0,4.0,0.0,0.0,1100-1159,0.0,,0.0,82.0,87.0,55.0,1.0,264.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,3,7,8,2,1997-07-08,WN,19393,WN,N338,631,11540,1154001,30615,ELP,"El Paso, TX",TX,48.0,Texas,74,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,940,940.0,0.0,0.0,0.0,0.0,0900-0959,5.0,945.0,1022.0,5.0,1035,1027.0,-8.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,115.0,107.0,97.0,1.0,714.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2,4,15,7,2018-04-15,9E,20363,9E,N910XJ,3287,13198,1319801,33198,MCI,"Kansas City, MO",MO,29.0,Missouri,64,12953,1295304,31703,LGA,"New York, NY",NY,36.0,New York,22,1417,1439.0,22.0,22.0,1.0,1.0,1400-1459,19.0,1458.0,1818.0,9.0,1812,1827.0,15.0,15.0,1.0,1.0,1800-1859,0.0,,0.0,175.0,168.0,140.0,1.0,1107.0,5,0.0,0.0,15.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
