Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
2015,4,11,14,6,2015-11-14,HA,19690,HA,N478HA,195,13830,1383002,33830,OGG,"Kahului, HI",HI,15.0,Hawaii,2,12173,1217302,32134,HNL,"Honolulu, HI",HI,15.0,Hawaii,2,1933,1959.0,26.0,26.0,1.0,1.0,1900-1959,7.0,2006.0,2033.0,7.0,2008,2040.0,32.0,32.0,1.0,2.0,2000-2059,0.0,,0.0,35.0,41.0,27.0,1.0,100.0,1,32.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2,4,3,2,2018-04-03,EV,20366,EV,N710EV,5565,10721,1072102,30721,BOS,"Boston, MA",MA,25.0,Massachusetts,13,14524,1452401,34524,RIC,"Richmond, VA",VA,51.0,Virginia,38,1455,1739.0,164.0,164.0,1.0,10.0,1400-1459,23.0,1802.0,1920.0,3.0,1646,1923.0,157.0,157.0,1.0,10.0,1600-1659,0.0,,0.0,111.0,104.0,78.0,1.0,474.0,2,77.0,0.0,0.0,0.0,80.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,4,10,20,1,1997-10-20,UA,19977,UA,N433UA,607,11278,1127801,30852,DCA,"Washington, DC",VA,51.0,Virginia,38,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,800,828.0,28.0,28.0,1.0,1.0,0800-0859,10.0,838.0,922.0,9.0,856,931.0,35.0,35.0,1.0,2.0,0800-0859,0.0,,0.0,116.0,123.0,104.0,1.0,612.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,2,4,14,4,1988-04-14,PA (1),20384,PA,,557,12478,1247801,31703,JFK,"New York, NY",NY,36.0,New York,22,11042,1104201,30647,CLE,"Cleveland, OH",OH,39.0,Ohio,44,1625,1644.0,19.0,19.0,1.0,1.0,1600-1659,,,,,1809,1826.0,17.0,17.0,1.0,1.0,1800-1859,0.0,,0.0,104.0,102.0,,1.0,425.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4,11,22,3,1989-11-22,NW,19386,NW,,157,13487,1348701,31650,MSP,"Minneapolis, MN",MN,27.0,Minnesota,63,14747,1474702,30559,SEA,"Seattle, WA",WA,53.0,Washington,93,2205,2203.0,-2.0,0.0,0.0,-1.0,2200-2259,,,,,2329,2338.0,9.0,9.0,0.0,0.0,2300-2359,0.0,,0.0,204.0,215.0,,1.0,1399.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,4,11,25,7,2018-11-25,WN,19393,WN,N730SW,2875,10423,1042302,30423,AUS,"Austin, TX",TX,48.0,Texas,74,11540,1154005,30615,ELP,"El Paso, TX",TX,48.0,Texas,74,2245,2302.0,17.0,17.0,1.0,1.0,2200-2259,14.0,2316.0,2331.0,3.0,2320,2334.0,14.0,14.0,0.0,0.0,2300-2359,0.0,,0.0,95.0,92.0,75.0,1.0,528.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2,4,24,2,2012-04-24,MQ,20398,MQ,N518MQ,3728,11618,1161802,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,13930,1393002,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1400,1356.0,-4.0,0.0,0.0,-1.0,1400-1459,14.0,1410.0,1457.0,8.0,1530,1505.0,-25.0,0.0,0.0,-2.0,1500-1559,0.0,,0.0,150.0,129.0,107.0,1.0,719.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,4,12,1,5,1995-12-01,DL,19790,DL,N966DL,2059,10781,1078101,30781,BTR,"Baton Rouge, LA",LA,22.0,Louisiana,72,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,1245,1245.0,0.0,0.0,0.0,0.0,1200-1259,8.0,1253.0,1351.0,5.0,1403,1356.0,-7.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,78.0,71.0,58.0,1.0,383.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,AS,19930,AS,N587AS,254,14771,1477104,32457,SFO,"San Francisco, CA",CA,6.0,California,91,12478,1247805,31703,JFK,"New York, NY",NY,36.0,New York,22,2315,2316.0,1.0,1.0,0.0,0.0,2300-2359,14.0,2330.0,727.0,9.0,755,736.0,-19.0,0.0,0.0,-2.0,0700-0759,0.0,,0.0,340.0,320.0,297.0,1.0,2586.0,11,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,10,7,2,2014-10-07,WN,19393,WN,N289CT,558,12191,1219102,31453,HOU,"Houston, TX",TX,48.0,Texas,74,15304,1530402,33195,TPA,"Tampa, FL",FL,12.0,Florida,33,1005,1008.0,3.0,3.0,0.0,0.0,1000-1059,12.0,1020.0,1304.0,4.0,1310,1308.0,-2.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,125.0,120.0,104.0,1.0,781.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,12,2,3,1998-12-02,NW,19386,NW,N760NW,1753,11996,1199602,31871,GSP,"Greer, SC",SC,45.0,South Carolina,37,11433,1143301,31295,DTW,"Detroit, MI",MI,26.0,Michigan,43,1945,1943.0,-2.0,0.0,0.0,-1.0,1900-1959,7.0,1950.0,2115.0,20.0,2133,2135.0,2.0,2.0,0.0,0.0,2100-2159,0.0,,0.0,108.0,112.0,85.0,1.0,508.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,8,1,5,2014-08-01,DL,19790,DL,N955DL,2301,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12.0,Florida,33,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21.0,Kentucky,52,1245,1317.0,32.0,32.0,1.0,2.0,1200-1259,15.0,1332.0,1523.0,8.0,1505,1531.0,26.0,26.0,1.0,1.0,1500-1559,0.0,,0.0,140.0,134.0,111.0,1.0,879.0,4,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1,1,17,3,2007-01-17,WN,19393,WN,N644SW,1274,10821,1082103,30852,BWI,"Baltimore, MD",MD,24.0,Maryland,35,15304,1530401,33195,TPA,"Tampa, FL",FL,12.0,Florida,33,1600,1559.0,-1.0,0.0,0.0,-1.0,1600-1659,9.0,1608.0,1814.0,3.0,1830,1817.0,-13.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,150.0,138.0,126.0,1.0,842.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2,4,26,5,2002-04-26,NW,19386,NW,N982US,661,13244,1324401,33244,MEM,"Memphis, TN",TN,47.0,Tennessee,54,10423,1042302,30423,AUS,"Austin, TX",TX,48.0,Texas,74,915,909.0,-6.0,0.0,0.0,-1.0,0900-0959,13.0,922.0,1046.0,5.0,1104,1051.0,-13.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,109.0,102.0,84.0,1.0,559.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,1,2,16,7,1997-02-16,AS,19930,AS,N765AS,534,14747,1474702,30559,SEA,"Seattle, WA",WA,53.0,Washington,93,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,1155,1155.0,0.0,0.0,0.0,0.0,1100-1159,14.0,1209.0,1423.0,8.0,1424,1431.0,7.0,7.0,0.0,0.0,1400-1459,0.0,,0.0,149.0,156.0,134.0,1.0,954.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,3,7,16,7,2006-07-16,CO,19704,CO,N19638,1188,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,11618,1161801,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,1245,1241.0,-4.0,0.0,0.0,-1.0,1200-1259,15.0,1256.0,1541.0,15.0,1622,1556.0,-26.0,0.0,0.0,-2.0,1600-1659,0.0,,0.0,157.0,135.0,105.0,1.0,719.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1,2,17,5,1995-02-17,NW,19386,NW,N908H,693,10135,1013501,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42.0,Pennsylvania,23,13230,1323001,32070,MDT,"Harrisburg, PA",PA,42.0,Pennsylvania,23,850,849.0,-1.0,0.0,0.0,-1.0,0800-0859,7.0,856.0,916.0,3.0,924,919.0,-5.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,34.0,30.0,20.0,1.0,77.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,1,1,22,5,1993-01-22,DL,19790,DL,,883,15370,1537001,34653,TUL,"Tulsa, OK",OK,40.0,Oklahoma,73,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,2025,2022.0,-3.0,0.0,0.0,-1.0,2000-2059,,,,,2125,2122.0,-3.0,0.0,0.0,-1.0,2100-2159,0.0,,0.0,60.0,60.0,,1.0,237.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,2,6,18,2,1996-06-18,DL,19790,DL,N665DN,1455,10994,1099401,30994,CHS,"Charleston, SC",SC,45.0,South Carolina,37,10397,1039702,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,1710,1709.0,-1.0,0.0,0.0,-1.0,1700-1759,9.0,1718.0,1811.0,9.0,1820,1820.0,0.0,0.0,0.0,0.0,1800-1859,0.0,,0.0,70.0,71.0,53.0,1.0,259.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2,5,25,4,2006-05-25,OO,20304,OO,N918SW,6699,11292,1129202,30325,DEN,"Denver, CO",CO,8.0,Colorado,82,11540,1154001,30615,ELP,"El Paso, TX",TX,48.0,Texas,74,1450,1450.0,0.0,0.0,0.0,0.0,1400-1459,9.0,1459.0,1622.0,4.0,1632,1626.0,-6.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,102.0,96.0,83.0,1.0,563.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,3,7,7,4,1988-07-07,PI,19822,PI,,844,10821,1082102,30852,BWI,"Baltimore, MD",MD,24.0,Maryland,35,13933,1393301,33933,ORH,"Worcester, MA",MA,25.0,Massachusetts,13,1503,1535.0,32.0,32.0,1.0,2.0,1500-1559,,,,,1613,1652.0,39.0,39.0,1.0,2.0,1600-1659,0.0,,0.0,70.0,77.0,,1.0,330.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,8,5,2,2014-08-05,OO,20304,OO,N554CA,4836,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27.0,Minnesota,63,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40.0,Oklahoma,73,2140,2148.0,8.0,8.0,0.0,0.0,2100-2159,15.0,2203.0,2332.0,6.0,2343,2338.0,-5.0,0.0,0.0,-1.0,2300-2359,0.0,,0.0,123.0,110.0,89.0,1.0,694.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2,4,28,1,2003-04-28,MQ,20398,MQ,N729MQ,4779,12478,1247801,31703,JFK,"New York, NY",NY,36.0,New York,22,10257,1025701,30257,ALB,"Albany, NY",NY,36.0,New York,22,2215,2201.0,-14.0,0.0,0.0,-1.0,2200-2259,9.0,2210.0,2238.0,3.0,2315,2241.0,-34.0,0.0,0.0,-2.0,2300-2359,0.0,,0.0,60.0,40.0,28.0,1.0,145.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,3,8,31,6,1996-08-31,DL,19790,DL,N905DE,1959,12953,1295301,31703,LGA,"New York, NY",NY,36.0,New York,22,13204,1320401,31454,MCO,"Orlando, FL",FL,12.0,Florida,33,1720,1746.0,26.0,26.0,1.0,1.0,1700-1759,13.0,1759.0,2007.0,6.0,1954,2013.0,19.0,19.0,1.0,1.0,1900-1959,0.0,,0.0,154.0,147.0,128.0,1.0,950.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,3,9,4,5,1992-09-04,AA,19805,AA,,574,13303,1330302,32467,MIA,"Miami, FL",FL,12.0,Florida,33,12953,1295301,31703,LGA,"New York, NY",NY,36.0,New York,22,1630,1642.0,12.0,12.0,0.0,0.0,1600-1659,,,,,1916,1925.0,9.0,9.0,0.0,0.0,1900-1959,0.0,,0.0,166.0,163.0,,1.0,1097.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,3,18,4,1999-03-18,CO,19704,CO,N33805,1037,11618,1161801,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,11697,1169702,32467,FLL,"Fort Lauderdale, FL",FL,12.0,Florida,33,1845,2222.0,217.0,217.0,1.0,12.0,1800-1859,17.0,2239.0,102.0,4.0,2149,106.0,197.0,197.0,1.0,12.0,2100-2159,0.0,,0.0,184.0,164.0,143.0,1.0,1065.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,4,12,2,2,2003-12-02,OO,20304,OO,N288SW,6234,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,14698,1469801,34236,SBP,"San Luis Obispo, CA",CA,6.0,California,91,2230,2234.0,4.0,4.0,0.0,0.0,2200-2259,8.0,2242.0,2316.0,2.0,2324,2318.0,-6.0,0.0,0.0,-1.0,2300-2359,0.0,,0.0,54.0,44.0,34.0,1.0,155.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,12,1,2018-03-12,B6,20409,B6,N935JB,123,12478,1247805,31703,JFK,"New York, NY",NY,36.0,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,744,738.0,-6.0,0.0,0.0,-1.0,0700-0759,19.0,757.0,1024.0,7.0,1044,1031.0,-13.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,360.0,353.0,327.0,1.0,2475.0,10,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1,2,12,7,1995-02-12,NW,19386,NW,N961N,1153,11433,1143301,31295,DTW,"Detroit, MI",MI,26.0,Michigan,43,13198,1319801,33198,MCI,"Kansas City, MO",MO,29.0,Missouri,64,1900,1857.0,-3.0,0.0,0.0,-1.0,1900-1959,30.0,1927.0,2010.0,7.0,2009,2017.0,8.0,8.0,0.0,0.0,2000-2059,0.0,,0.0,129.0,140.0,103.0,1.0,629.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,11,11,6,2017-11-11,WN,19393,WN,N462WN,4233,10821,1082105,30852,BWI,"Baltimore, MD",MD,24.0,Maryland,35,10994,1099402,30994,CHS,"Charleston, SC",SC,45.0,South Carolina,37,1605,1602.0,-3.0,0.0,0.0,-1.0,1600-1659,11.0,1613.0,1725.0,4.0,1745,1729.0,-16.0,0.0,0.0,-2.0,1700-1759,0.0,,0.0,100.0,87.0,72.0,1.0,472.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2,5,22,3,2013-05-22,EV,20366,EV,N15572,5973,15370,1537002,34653,TUL,"Tulsa, OK",OK,40.0,Oklahoma,73,13930,1393002,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1830,1930.0,60.0,60.0,1.0,4.0,1800-1859,12.0,1942.0,2103.0,10.0,2020,2113.0,53.0,53.0,1.0,3.0,2000-2059,0.0,,0.0,110.0,103.0,81.0,1.0,585.0,3,0.0,0.0,34.0,0.0,19.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,4,12,3,2,1996-12-03,US,20355,US,N444US,276,13303,1330302,32467,MIA,"Miami, FL",FL,12.0,Florida,33,11057,1105702,31057,CLT,"Charlotte, NC",NC,37.0,North Carolina,36,700,709.0,9.0,9.0,0.0,0.0,0700-0759,22.0,731.0,912.0,6.0,858,918.0,20.0,20.0,1.0,1.0,0800-0859,0.0,,0.0,118.0,129.0,101.0,1.0,650.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,4,12,20,2,2011-12-20,WN,19393,WN,N392SW,510,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40.0,Oklahoma,73,11259,1125903,30194,DAL,"Dallas, TX",TX,48.0,Texas,74,1440,1440.0,0.0,0.0,0.0,0.0,1400-1459,5.0,1445.0,1526.0,3.0,1530,1529.0,-1.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,50.0,49.0,41.0,1.0,181.0,1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1,3,2,4,2006-03-02,OO,20304,OO,N941SW,6501,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,13796,1379601,32457,OAK,"Oakland, CA",CA,6.0,California,91,1805,1800.0,-5.0,0.0,0.0,-1.0,1800-1859,12.0,1812.0,1912.0,6.0,1921,1918.0,-3.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,76.0,78.0,60.0,1.0,337.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,1,1,26,4,2012-01-26,DL,19790,DL,N985DL,1630,10397,1039704,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,14683,1468302,33214,SAT,"San Antonio, TX",TX,48.0,Texas,74,2042,2105.0,23.0,23.0,1.0,1.0,2000-2059,19.0,2124.0,2236.0,9.0,2233,2245.0,12.0,12.0,0.0,0.0,2200-2259,0.0,,0.0,171.0,160.0,132.0,1.0,874.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2,4,17,1,2006-04-17,US,20355,US,N307AW,663,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4.0,Arizona,81,14908,1490802,32575,SNA,"Santa Ana, CA",CA,6.0,California,91,1934,1926.0,-8.0,0.0,0.0,-1.0,1900-1959,16.0,1942.0,2040.0,10.0,2051,2050.0,-1.0,0.0,0.0,-1.0,2000-2059,0.0,,0.0,77.0,84.0,58.0,1.0,338.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,4,11,6,2,1990-11-06,NW,19386,NW,,1017,11986,1198601,31986,GRR,"Grand Rapids, MI",MI,26.0,Michigan,43,13487,1348701,31650,MSP,"Minneapolis, MN",MN,27.0,Minnesota,63,2115,2111.0,-4.0,0.0,0.0,-1.0,2100-2159,,,,,2140,2128.0,-12.0,0.0,0.0,-1.0,2100-2159,0.0,,0.0,85.0,77.0,,1.0,408.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,11,24,7,2019-11-24,YX,20452,YX,N114HQ,4668,10397,1039707,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42.0,Pennsylvania,23,1149,1145.0,-4.0,0.0,0.0,-1.0,1100-1159,13.0,1158.0,1335.0,8.0,1359,1343.0,-16.0,0.0,0.0,-2.0,1300-1359,0.0,,0.0,130.0,118.0,97.0,1.0,666.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1,1,31,3,2001-01-31,UA,19977,UA,N3921,2741,11109,1110901,30189,COS,"Colorado Springs, CO",CO,8.0,Colorado,82,11292,1129202,30325,DEN,"Denver, CO",CO,8.0,Colorado,82,1030,1027.0,-3.0,0.0,0.0,-1.0,1000-1059,10.0,1037.0,1101.0,5.0,1111,1106.0,-5.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,41.0,39.0,24.0,1.0,73.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1,2,1,3,2006-02-01,NW,19386,NW,N363NB,634,14683,1468301,33214,SAT,"San Antonio, TX",TX,48.0,Texas,74,13244,1324401,33244,MEM,"Memphis, TN",TN,47.0,Tennessee,54,1520,1512.0,-8.0,0.0,0.0,-1.0,1500-1559,8.0,1520.0,1639.0,4.0,1658,1643.0,-15.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,98.0,91.0,79.0,1.0,625.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,1,2,23,4,1989-02-23,US,20355,US,,200,14122,1412201,30198,PIT,"Pittsburgh, PA",PA,42.0,Pennsylvania,23,13931,1393101,33667,ORF,"Norfolk, VA",VA,51.0,Virginia,38,855,855.0,0.0,0.0,0.0,0.0,0800-0859,,,,,1004,1022.0,18.0,18.0,1.0,1.0,1000-1059,0.0,,0.0,69.0,87.0,,1.0,330.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,1,13,4,2000-01-13,TW,20211,TW,N926TW,422,15016,1501601,31123,STL,"St. Louis, MO",MO,29.0,Missouri,64,15304,1530401,33195,TPA,"Tampa, FL",FL,12.0,Florida,33,1315,1322.0,7.0,7.0,0.0,0.0,1300-1359,19.0,1341.0,1631.0,3.0,1640,1634.0,-6.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,145.0,132.0,110.0,1.0,869.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4,11,14,2,1989-11-14,CO,19704,CO,,754,11066,1106601,31066,CMH,"Columbus, OH",OH,39.0,Ohio,44,11618,1161801,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,1350,1350.0,0.0,0.0,0.0,0.0,1300-1359,,,,,1530,1530.0,0.0,0.0,0.0,0.0,1500-1559,0.0,,0.0,100.0,100.0,,1.0,462.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,3,22,5,1991-03-22,NW,19386,NW,,293,13244,1324401,33244,MEM,"Memphis, TN",TN,47.0,Tennessee,54,13495,1349501,33495,MSY,"New Orleans, LA",LA,22.0,Louisiana,72,1455,1519.0,24.0,24.0,1.0,1.0,1400-1459,,,,,1609,1638.0,29.0,29.0,1.0,1.0,1600-1659,0.0,,0.0,74.0,79.0,,1.0,349.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2,4,9,6,2016-04-09,AA,19805,AA,N546UW,499,11292,1129202,30325,DEN,"Denver, CO",CO,8.0,Colorado,82,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4.0,Arizona,81,1220,1213.0,-7.0,0.0,0.0,-1.0,1200-1259,10.0,1223.0,1254.0,6.0,1313,1300.0,-13.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,113.0,107.0,91.0,1.0,602.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,3,7,31,1,2006-07-31,FL,20437,FL,N940AT,385,13367,1336701,33367,MLI,"Moline, IL",IL,17.0,Illinois,41,10397,1039703,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,1746,1738.0,-8.0,0.0,0.0,-1.0,1700-1759,22.0,1800.0,2038.0,9.0,2040,2047.0,7.0,7.0,0.0,0.0,2000-2059,0.0,,0.0,114.0,129.0,98.0,1.0,633.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,12,6,2011-03-12,AA,19805,AA,N474AA,2529,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,13495,1349501,33495,MSY,"New Orleans, LA",LA,22.0,Louisiana,72,1840,1837.0,-3.0,0.0,0.0,-1.0,1800-1859,19.0,1856.0,2046.0,5.0,2055,2051.0,-4.0,0.0,0.0,-1.0,2000-2059,0.0,,0.0,135.0,134.0,110.0,1.0,837.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,3,9,2,2004-03-09,UA,19977,UA,N305UA,841,11057,1105702,31057,CLT,"Charlotte, NC",NC,37.0,North Carolina,36,11292,1129202,30325,DEN,"Denver, CO",CO,8.0,Colorado,82,900,857.0,-3.0,0.0,0.0,-1.0,0900-0959,17.0,914.0,1027.0,4.0,1035,1031.0,-4.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,215.0,214.0,193.0,1.0,1338.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
